master_sort,old_sort,coral_id,site,code,type,search_term,cafi_size_mm,measurement,alt_size_mm,alt_measurement,extraction_method,photo_num,id_certainty,general_notes,identification_notes,revised_yn,revision_date,identified_by,revised_by,previous_name,worms_id,lowest_level,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species
1,1,MRB-POC01,MRB01,ALLO,shrimp,Alpheus lottini,,rostrum_to_tail,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
2,2,MRB-POC01,MRB01,ALLO,shrimp,Alpheus lottini,,rostrum_to_tail,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,210544,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,Alpheus lottini
3,3,MRB-POC01,MRB01,ALSP,shrimp,Alpheus,,rostrum_to_tail,,,clove,US 17,revision_possible,merged from AP community matrix data on 7/6,"Can't see stripe, don't know how to + ID ALLO",y,31-Oct; 2020-05-11,JC,AP; JC; JC,clear_shrimp; ALLO,106978,genus,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Alpheoidea,Alpheidae,NA,Alpheus,NA
4,4,MRB-POC01,MRB01,HABE,shrimp,Harpiliopsis beaupresii,,rostrum_to_tail,,,clove,US18,certain,merged from AP community matrix data on 7/6,Spots on top and on tail,y,31-Oct; 2020-05-11,JC,AP; JC; JC,clear_shrimp; HADE,220132,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis beaupresii
5,5,MRB-POC01,MRB01,HABE,shrimp,Harpiliopsis beaupresii,,rostrum_to_tail,,,clove,US 19,certain,merged from AP community matrix data on 7/6,,y,31-Oct; 2020-05-11,JC,AP; JC; JC,clear_shrimp; HADE,220132,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis beaupresii
6,6,MRB-POC01,MRB01,HASP,shrimp,Harpiliopsis spinigera,,rostrum_to_tail,,,clove,US 20,revision_possible,merged from AP community matrix data on 7/6,"Could be J. japonica.. brightness of orange stripes, but big orange dots visible just blurry",y,31-Oct,AP,AP,clear_shrimp,220130,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Palaemonoidea,Palaemonidae,NA,Harpiliopsis,Harpiliopsis spinigera
7,7,MRB-POC01,MRB01,PAAR,fish,Paracirrhites arcatus,40,total_length,,standard_length,field,,certain,From field survey,,,,,,,218866,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Percoidei,NA,NA,Cirrhitidae,NA,Paracirrhites,Paracirrhites arcatus
8,8,MRB-POC01,MRB01,PAAR,fish,Paracirrhites arcatus,35,total_length,,standard_length,field,,certain,From field survey,,,,,,,218866,species,Chordata,Vertebrata,Gnathostomata,Actinopterygii,NA,NA,Perciformes,Percoidei,NA,NA,Cirrhitidae,NA,Paracirrhites,Paracirrhites arcatus
9,9,MRB-POC01,MRB01,POCH,worm,Polychaeta,,total_length,,,clove,no photo,certain,merged from AP community matrix data on 7/6,"no photo, further ID not possible",y,5/15/2020,,JC,polychaete,883,class,Annelida,NA,NA,Polychaeta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,MRB-POC01,MRB01,TRSE,crab,Trapezia serenei,,carapace_width,,,clove,,certain,merged from AP community matrix data on 7/6,,,,,,,443886,species,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Brachyura,Trapezioidea,Trapeziidae,Trapeziinae,Trapezia,Trapezia serenei
